x,y
404, 266
424, 265
463, 262
438, 265
392, 267
383, 267
422, 266
588, 258
504, 260
857, 238
1108, 231
3259, 91
1846, 177
2130, 175
4656, 6
4074, 41
-1562, 363
-937, 347
-725, 327
-639, 329
-639, 329
-688, 329
-544, 317
-544, 317
-609, 325
-639, 329
-639, 329
-639, 329
-544, 317
-639, 329
-639, 329
-639, 329
-532, 315
-639, 329
-609, 325
-532, 315
-609, 325
-609, 325
-609, 325
-609, 325
-639, 329
-532, 315
-639, 329
-639, 329
-609, 325
-609, 325
-609, 325
-498, 311
-544, 317
-532, 315
-498, 311
-639, 327
-544, 317
-639, 329
-570, 317
-639, 329
-609, 325
-609, 325
-544, 317
-522, 312
-639, 329
-609, 325
-609, 325
-639, 329
-609, 325
-609, 325
-544, 317
-595, 323
-544, 317
-532, 315
-639, 329
-609, 325
-639, 329
-532, 315
-639, 329
-639, 329
-609, 325
-595, 324
-509, 312
-609, 325
-639, 329
-532, 315
-595, 322
-639, 327
-557, 317
-557, 316
-532, 317
-610, 328
-546, 317
-686, 336
-571, 320
-571, 322
-685, 339
-701, 342
-717, 346
-598, 331
-625, 335
-612, 330
-639, 335
-715, 345
-748, 351
-667, 342
-803, 357
-783, 357
-748, 353
-803, 359
-667, 341
-803, 359
-767, 353
-803, 356
-599, 331
-767, 349
-786, 353
-625, 331
-829, 352
-685, 338
-654, 334
-774, 345
-654, 332
-687, 335
-582, 321
-639, 327
-687, 332
-639, 325
-609, 323
-655, 328
-655, 328
-544, 313
-609, 321
-609, 321
-639, 328
-532, 315
-532, 317
-639, 331
-583, 324
-654, 332
-685, 335
-625, 331
-611, 327
-717, 345
-612, 330
-625, 332
-715, 343
-748, 347
-803, 353
-713, 344
-799, 356
-626, 333
-858, 366
-653, 337
-858, 364
-728, 349
-712, 347
-712, 340
-712, 343
-682, 342
-858, 364
-858, 369
-783, 360
-667, 339
-824, 358
-625, 332
-668, 336
-598, 330
-700, 340
-654, 337
-686, 336
-611, 328
-669, 334
-703, 336
-654, 333
-582, 320
-624, 327
-544, 319
-705, 334
-595, 323
-624, 322
-594, 322
-609, 322
-581, 321
-624, 323
-639, 326
-554, 315
-542, 312
-655, 328
-554, 313
-542, 314
-506, 310
-554, 315
-517, 311
-517, 310
-655, 321
-624, 322
-609, 320
-609, 321
-610, 323
-639, 328
-557, 319
-583, 322
-654, 331
-701, 339
-717, 342
-735, 342
-639, 330
-612, 328
-653, 334
-698, 339
-639, 333
-625, 333
-730, 345
-824, 357
-587, 328
-783, 353
-803, 356
-715, 346
-767, 352
-653, 335
-700, 342
-625, 331
-751, 347
-685, 338
-639, 332
-701, 335
-719, 337
-737, 336
-610, 325
-610, 323
-687, 333
-670, 328
-655, 328
-671, 329
-639, 323
-609, 321
-568, 316
-568, 316
-624, 325
-554, 314
-554, 315
-566, 317
-609, 320
-655, 326
-594, 317
-594, 318
-517, 310
-609, 321
-542, 313
-554, 315
-554, 315
-506, 309
-517, 310
-554, 315
-506, 309
-566, 315
-528, 311
-554, 315
-542, 313
-566, 315
-554, 315
-528, 312
-554, 315
-580, 317
