x,y
346, 272
528, 257
524, 258
792, 230
673, 240
489, 257
1015, 209
802, 229
1210, 203
1568, 154
-3754, 625
-1633, 460
-1547, 452
-2556, 518
-639, 365
-2846, 576
-639, 365
-544, 349
-639, 365
-655, 367
-655, 367
-670, 367
-655, 367
-687, 370
-705, 371
-639, 362
-655, 367
-705, 371
-655, 363
-655, 365
-760, 377
-723, 371
-671, 365
-639, 362
-671, 365
-671, 365
-655, 363
-655, 363
-671, 365
-655, 363
-655, 363
-705, 368
-655, 365
-671, 366
-639, 362
-671, 366
-655, 363
-671, 365
-671, 365
-610, 354
-671, 365
-671, 365
-532, 345
-655, 363
-655, 363
-570, 350
-655, 363
-532, 344
-723, 370
-688, 368
-655, 363
-582, 349
-655, 363
-655, 363
-655, 363
-655, 363
-582, 351
-639, 362
-557, 349
-557, 349
-570, 350
-639, 362
-570, 350
-639, 362
-557, 349
-639, 362
-609, 357
-532, 345
-557, 349
-639, 362
-557, 349
-639, 362
-609, 359
-639, 362
-581, 355
-532, 347
-522, 346
-522, 346
-568, 354
-609, 359
-568, 354
-568, 354
-509, 343
-568, 354
-489, 341
-568, 354
-568, 354
-595, 358
-556, 352
-568, 354
-498, 342
-595, 358
-498, 342
-595, 358
-522, 346
-595, 358
-595, 358
-489, 341
-568, 354
-568, 354
-489, 341
-568, 354
-568, 354
-568, 354
-489, 341
-568, 354
-568, 354
-489, 341
-489, 341
-568, 354
-522, 346
-522, 346
-568, 354
-568, 354
-568, 354
-522, 346
-595, 358
-568, 354
-522, 346
-489, 342
-522, 347
-489, 342
-556, 352
-511, 345
-511, 345
-511, 345
-522, 347
-595, 360
-511, 346
-582, 358
-610, 362
-610, 362
-524, 348
-514, 349
-624, 367
-550, 355
-639, 370
-654, 375
-587, 363
-564, 361
-698, 383
-576, 362
-713, 388
-713, 388
-713, 387
-683, 383
-713, 389
-589, 367
-683, 386
-698, 387
-715, 390
-715, 390
-684, 383
-700, 386
-539, 360
-539, 359
-624, 374
-514, 354
-492, 349
-511, 351
-498, 349
-554, 356
-554, 354
-464, 340
-566, 354
-464, 339
-540, 350
-540, 350
-540, 349
-540, 349
-540, 349
-455, 337
-455, 337
-581, 355
-542, 349
-522, 346
-595, 358
-582, 360
-535, 349
-596, 362
-582, 359
-596, 362
-610, 363
-596, 364
-583, 361
-611, 366
-624, 368
-654, 373
-625, 369
-669, 376
-654, 375
-684, 381
-668, 380
-668, 380
-668, 382
-668, 382
-684, 386
-551, 362
-654, 380
-669, 382
-669, 381
-639, 377
-654, 377
-669, 380
-596, 368
-596, 367
-582, 365
-595, 365
-595, 365
-609, 365
-554, 357
-486, 344
-542, 354
-566, 357
-540, 354
-540, 353
-540, 352
-464, 341
-514, 348
-525, 349
-525, 350
-489, 345
-479, 341
-525, 348
-525, 347
-525, 346
-430, 332
-525, 347
-514, 345
-540, 348
-540, 348
-464, 337
-517, 347
-476, 340
-489, 343
-609, 361
-595, 362
-492, 345
-596, 363
-639, 369
-611, 367
-639, 372
-539, 356
-625, 372
-654, 374
-654, 376
-654, 375
-625, 373
-639, 374
-639, 374
-625, 372
-539, 358
-624, 371
-610, 368
-596, 366
-624, 369
-582, 364
-470, 344
-581, 361
-554, 358
-566, 358
-528, 353
-540, 353
-451, 340
-451, 337
-500, 346
-525, 348
-525, 346
-537, 348
-525, 347
-525, 347
-565, 353
-525, 347
-537, 349
-525, 347
-525, 347
-489, 342
-537, 349
-489, 342
-525, 348
-537, 349
-537, 349
-525, 348
-500, 343
-500, 344
-537, 349
-525, 348
-537, 349
-511, 345
-500, 343
-511, 345
-479, 340
-525, 348
-537, 347
-552, 350
