x,y
201, 285
223, 283
281, 277
288, 276
716, 231
337, 271
2100, 86
538, 250
17, 304
-83, 315
9, 305
17, 304
17, 304
9, 305
17, 304
9, 305
17, 304
17, 304
17, 304
9, 305
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
9, 306
17, 304
17, 304
9, 306
17, 304
17, 304
17, 304
17, 304
9, 306
17, 304
17, 304
17, 304
17, 304
9, 306
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
9, 306
9, 306
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
9, 306
17, 304
9, 306
17, 304
9, 306
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
9, 306
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
17, 304
9, 306
9, 306
9, 306
17, 304
17, 304
9, 306
17, 305
17, 305
17, 305
26, 304
26, 303
26, 304
26, 303
26, 303
26, 303
26, 302
26, 302
35, 301
35, 300
43, 298
44, 297
44, 297
52, 295
44, 297
44, 296
44, 296
53, 294
53, 294
53, 293
53, 292
44, 294
44, 294
44, 294
44, 294
35, 296
44, 295
35, 296
35, 296
26, 298
26, 298
26, 299
26, 299
17, 301
17, 302
17, 302
9, 304
0, 306
9, 305
9, 305
0, 307
0, 307
0, 307
9, 306
9, 306
9, 306
9, 306
9, 306
9, 306
0, 308
9, 307
17, 306
17, 306
17, 306
17, 305
9, 307
17, 305
18, 305
26, 303
26, 302
26, 302
35, 301
35, 301
43, 299
44, 299
44, 299
43, 298
52, 296
52, 296
60, 295
53, 295
61, 294
68, 292
69, 293
70, 292
70, 291
61, 291
61, 291
61, 291
62, 291
60, 291
53, 294
52, 294
44, 296
44, 296
43, 297
35, 298
35, 298
26, 300
18, 302
18, 302
17, 303
17, 303
9, 305
17, 303
9, 305
9, 305
17, 304
9, 306
17, 304
17, 304
9, 306
17, 305
9, 306
26, 304
34, 303
34, 303
35, 302
35, 303
43, 300
43, 300
44, 299
53, 297
52, 297
61, 295
69, 295
70, 294
69, 294
70, 293
78, 292
79, 291
78, 292
79, 291
79, 290
79, 290
71, 291
79, 289
70, 291
70, 291
70, 290
70, 291
61, 292
53, 294
53, 294
53, 295
52, 295
44, 297
43, 298
43, 298
35, 299
26, 301
26, 301
26, 301
34, 301
26, 302
26, 302
26, 302
26, 301
26, 302
26, 301
34, 301
26, 301
34, 301
26, 301
26, 301
26, 301
26, 301
26, 301
26, 301
26, 301
26, 301
26, 301
26, 301
26, 301
26, 301
26, 302
26, 301
26, 301
34, 301
26, 301
26, 301
42, 299
49, 298
43, 300
35, 302
43, 301
35, 303
43, 302
50, 301
43, 303
50, 302
50, 302
57, 301
57, 301
65, 300
57, 302
57, 302
49, 305
50, 305
57, 303
49, 306
57, 305
49, 305
55, 304
49, 304
33, 307
33, 306
25, 307
25, 306
17, 307
8, 308
0, 309
0, 308
0, 308
-9, 309
-9, 309
-8, 308
-9, 309
-9, 310
-9, 311
0, 309
0, 309
0, 309
0, 309
0, 309
0, 309
0, 308
0, 307
0, 305
9, 304
17, 302
17, 302
34, 302
50, 300
66, 300
83, 300
98, 299
97, 299
89, 300
81, 301
73, 301
57, 303
63, 302
56, 303
63, 303
63, 303
56, 304
56, 304
56, 304
49, 306
56, 305
56, 305
63, 304
64, 304
72, 303
65, 305
65, 305
65, 304
57, 305
34, 308
34, 307
26, 308
34, 306
41, 305
34, 306
34, 306
34, 306
26, 307
26, 307
17, 308
26, 306
17, 307
9, 308
9, 308
9, 308
0, 309
0, 309
0, 309
0, 309
9, 307
9, 307
9, 307
0, 308
0, 307
0, 305
9, 305
9, 304
9, 304
17, 303
18, 304
26, 303
43, 302
43, 302
43, 303
43, 303
50, 302
50, 303
57, 302
57, 303
65, 303
66, 303
66, 303
58, 304
65, 303
64, 303
49, 305
57, 304
56, 305
49, 307
41, 308
49, 308
49, 307
49, 306
41, 307
33, 308
41, 306
25, 308
17, 310
25, 308
25, 308
17, 309
17, 309
9, 311
17, 309
9, 310
9, 310
9, 310
17, 308
9, 310
9, 309
9, 309
9, 309
9, 309
9, 309
9, 309
9, 309
17, 307
9, 309
9, 309
18, 307
9, 309
18, 307
9, 308
17, 306
9, 308
18, 306
18, 305
26, 303
18, 304
18, 304
9, 306
9, 306
9, 306
18, 304
9, 305
9, 305
9, 305
9, 305
34, 300
9, 305
9, 305
9, 305
9, 305
26, 301
9, 305
9, 305
9, 305
33, 300
9, 305
9, 305
26, 301
26, 301
0, 307
26, 301
34, 300
9, 305
26, 301
18, 303
18, 303
9, 305
26, 301
9, 305
9, 305
9, 305
26, 301
18, 303
9, 305
18, 303
26, 301
26, 301
9, 305
26, 301
26, 301
17, 303
9, 305
18, 303
18, 303
18, 303
18, 303
18, 303
18, 303
18, 303
18, 303
18, 303
18, 303
18, 303
18, 303
18, 303
18, 303
18, 303
18, 303
18, 303
