x,y
792, 210
604, 222
833, 207
1158, 179
-1004, 337
-311, 287
-368, 294
-295, 286
-279, 286
-399, 299
-328, 294
-274, 289
-267, 288
-192, 280
-192, 280
-213, 283
-231, 286
-204, 282
-226, 285
-166, 276
-226, 285
-231, 286
-231, 286
-226, 285
-231, 286
-209, 282
-226, 285
-209, 282
-236, 286
-231, 286
-226, 285
-236, 286
-213, 283
-226, 285
-231, 286
-236, 286
-231, 286
-226, 285
-204, 282
-226, 284
-226, 285
-213, 283
-231, 286
-204, 282
-231, 286
-231, 286
-236, 286
-226, 285
-231, 286
-231, 286
-236, 286
-226, 287
-209, 285
-226, 288
-213, 287
-213, 286
-192, 284
-213, 288
-218, 288
-196, 286
-200, 285
-183, 282
-186, 282
-170, 280
-170, 279
-173, 280
-153, 277
-177, 279
-160, 277
-160, 277
-125, 272
-141, 273
-125, 271
-125, 270
-141, 271
-143, 271
-123, 269
-125, 269
-125, 269
-141, 271
-141, 271
-141, 272
-135, 269
-138, 269
-166, 274
-173, 274
-145, 272
-166, 274
-183, 277
-183, 278
-160, 276
-175, 278
-192, 281
-192, 280
-188, 280
-226, 286
-204, 282
-245, 289
-200, 283
-200, 282
-200, 283
-226, 287
-217, 286
-200, 283
-204, 285
-226, 288
-204, 285
-204, 284
-204, 285
-209, 286
-209, 286
-213, 287
-213, 288
-218, 289
-196, 285
-200, 287
-179, 284
-186, 285
-204, 286
-166, 280
-170, 281
-173, 280
-173, 280
-156, 278
-173, 280
-160, 279
-125, 274
-143, 276
-143, 275
-143, 275
-143, 275
-125, 272
-138, 273
-160, 277
-128, 272
-143, 273
-143, 274
-143, 272
-125, 270
-125, 270
-141, 271
-138, 273
-173, 276
-135, 272
-153, 275
-150, 275
-166, 277
-147, 274
-179, 279
-163, 277
-163, 278
-196, 283
-196, 283
-172, 280
-209, 285
-188, 282
-209, 285
-213, 286
-188, 282
-204, 284
-226, 288
-226, 288
-204, 285
-204, 284
-204, 285
-200, 284
-204, 286
-200, 285
-204, 286
-200, 285
-200, 285
-204, 285
-222, 289
-184, 284
-188, 283
-213, 289
-213, 289
-200, 288
-200, 287
-186, 285
-186, 285
-150, 279
-173, 282
-170, 280
-156, 278
-177, 280
-156, 277
-141, 275
-156, 277
-143, 274
-160, 277
-141, 274
-125, 271
-143, 274
-143, 273
-163, 275
-125, 269
-141, 271
-125, 269
-138, 270
-160, 275
-173, 276
-173, 276
-190, 279
-170, 276
-186, 280
-163, 276
-175, 279
-200, 282
-196, 282
-192, 281
-209, 284
-192, 281
-192, 281
-192, 280
-213, 284
-172, 278
-218, 285
-192, 281
-192, 281
-172, 278
-192, 281
-209, 284
-213, 284
-192, 281
-218, 285
-213, 284
-213, 284
-213, 284
-213, 284
-213, 284
-204, 283
-188, 279
-184, 279
-231, 286
-209, 283
-204, 282
-213, 283
-209, 281
-192, 279
-209, 281
-209, 280
-226, 283
-231, 282
-236, 283
-236, 283
-250, 283
-250, 283
-204, 279
-213, 278
-231, 279
-256, 283
-231, 279
-245, 282
-231, 279
-250, 280
-222, 276
-245, 279
-240, 279
-264, 281
-258, 280
-217, 276
-240, 279
-217, 277
-245, 280
-240, 281
-217, 278
-217, 278
-245, 282
-245, 282
-188, 275
-204, 277
-231, 281
-204, 277
-204, 278
-240, 283
-197, 277
-245, 284
-200, 278
-226, 281
-222, 281
-245, 284
-245, 284
-217, 280
-222, 283
-245, 286
-217, 282
-240, 284
-240, 286
-217, 282
-235, 283
-240, 284
-245, 284
-226, 283
-209, 281
-213, 281
-218, 281
-192, 278
-196, 278
-213, 280
-196, 277
-192, 275
-231, 281
-236, 282
-209, 278
-231, 280
-231, 280
-231, 281
-250, 283
-209, 277
-231, 281
-231, 279
-231, 279
-204, 275
-204, 275
-209, 274
-231, 276
-256, 279
-226, 275
-231, 276
-250, 279
-245, 277
-245, 277
-245, 277
-217, 275
-240, 278
-264, 281
-264, 281
-264, 281
-245, 280
-245, 280
-240, 279
-217, 276
-240, 279
-245, 280
-264, 283
-258, 282
-245, 281
-245, 281
-245, 281
-240, 281
-240, 281
-245, 281
-240, 281
-213, 277
-217, 278
-245, 281
-235, 280
-245, 283
-245, 283
-240, 283
-240, 283
-258, 285
-193, 277
-258, 287
-235, 284
-264, 288
-264, 288
-217, 281
-264, 288
-264, 288
-258, 287
-264, 288
-258, 288
-240, 286
-264, 289
-235, 286
-240, 287
-213, 282
-264, 290
-258, 289
-235, 286
-240, 286
-213, 282
-258, 289
-240, 286
-240, 286
-235, 286
-240, 286
-240, 286
-240, 286
-240, 286
-240, 286
-264, 290
-245, 287
-240, 286
-240, 286
-240, 286
-240, 286
-230, 285
-240, 286
-235, 286
-240, 286
-264, 290
-235, 286
-213, 282
-240, 286
-240, 286
-240, 286
-240, 286
-240, 286
-235, 286
-240, 286
-258, 289
-240, 286
-240, 286
-240, 286
-240, 286
-217, 283
-284, 292
-240, 286
-258, 288
-258, 288
-284, 292
-240, 286
-258, 288
-284, 292
-245, 287
-240, 286
-264, 289
-264, 290
-264, 289
-264, 290
-258, 288
-258, 288
-258, 288
-258, 288
-264, 289
-258, 288
-264, 289
-240, 287
-270, 290
-253, 287
-253, 287
-297, 294
-258, 288
-284, 292
-235, 286
-235, 286
-235, 286
-240, 287
-258, 290
-240, 286
-235, 286
