x,y
19809, -1043
1619, 181
-409, 316
-460, 321
-465, 321
-677, 337
-426, 319
-822, 347
-277, 309
-572, 328
-517, 326
-369, 315
-152, 300
-160, 301
-30, 292
-41, 293
-29, 292
-19, 291
-9, 291
-9, 291
-9, 291
-9, 291
-9, 291
-9, 291
-18, 292
-9, 291
-9, 291
-9, 291
-9, 291
-9, 291
-9, 291
-9, 291
-9, 291
-9, 291
-9, 291
0, 289
0, 289
-9, 291
-9, 291
0, 289
0, 289
0, 289
-9, 291
-9, 291
-9, 291
0, 289
-9, 291
-9, 291
-9, 291
0, 289
-9, 291
0, 289
-9, 291
-9, 291
-9, 291
-9, 291
0, 289
0, 289
-9, 291
-9, 291
-9, 291
0, 289
-9, 291
-9, 291
-9, 291
-9, 291
-9, 291
-9, 291
-9, 291
-9, 291
-9, 291
0, 289
-9, 291
-9, 291
0, 289
-9, 291
-9, 291
-9, 291
-9, 291
-9, 291
0, 289
0, 289
-9, 291
-9, 291
0, 289
-9, 291
-9, 291
0, 289
-9, 291
-9, 291
0, 289
0, 289
0, 289
-9, 291
-9, 291
-9, 291
0, 289
-9, 291
-9, 291
-9, 291
0, 290
0, 290
0, 290
9, 288
0, 290
0, 290
0, 291
-9, 293
0, 292
0, 292
-9, 294
0, 292
0, 293
9, 291
0, 293
0, 293
9, 291
9, 290
18, 290
9, 289
9, 289
27, 286
18, 287
36, 285
28, 286
36, 284
36, 284
37, 283
36, 283
28, 284
28, 284
37, 283
44, 282
37, 282
28, 282
37, 280
37, 281
37, 281
36, 281
27, 282
27, 282
27, 282
27, 283
27, 283
27, 284
27, 284
18, 286
26, 285
18, 287
18, 287
18, 288
9, 288
18, 289
18, 289
18, 289
18, 289
9, 290
18, 289
9, 290
17, 289
9, 290
9, 290
18, 290
9, 291
9, 291
18, 290
26, 288
18, 290
18, 291
26, 289
18, 291
18, 290
27, 288
26, 290
27, 288
27, 288
27, 287
44, 285
37, 286
37, 285
44, 285
45, 284
45, 283
46, 283
37, 283
46, 282
53, 280
46, 280
46, 280
45, 280
37, 281
46, 280
44, 280
44, 279
36, 280
27, 281
27, 282
27, 283
27, 283
26, 284
18, 286
18, 286
18, 286
18, 285
9, 287
18, 285
18, 285
18, 285
18, 286
9, 287
9, 287
18, 288
17, 288
9, 290
9, 290
18, 289
18, 289
18, 291
18, 289
27, 288
27, 287
35, 287
27, 287
36, 286
27, 286
36, 285
36, 285
36, 284
37, 284
44, 283
37, 283
46, 282
46, 281
54, 280
46, 280
46, 279
46, 279
54, 278
46, 278
46, 279
46, 279
45, 278
37, 282
36, 281
27, 283
18, 286
27, 285
26, 286
26, 287
18, 289
18, 289
17, 290
9, 290
9, 291
9, 291
9, 291
9, 291
9, 290
9, 290
18, 290
9, 290
9, 290
18, 290
9, 290
9, 290
26, 288
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
17, 289
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
17, 289
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
17, 289
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
18, 289
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
18, 287
9, 291
9, 290
18, 288
9, 290
9, 290
9, 290
9, 291
18, 290
9, 291
18, 290
26, 289
26, 290
26, 290
18, 292
26, 291
34, 291
34, 291
42, 290
34, 292
26, 292
40, 290
17, 293
17, 292
17, 293
25, 292
17, 294
25, 292
17, 294
17, 293
25, 292
25, 292
17, 294
25, 293
25, 293
34, 292
26, 292
26, 292
17, 293
17, 292
9, 292
9, 292
9, 291
9, 291
0, 293
9, 291
18, 291
18, 292
9, 291
18, 289
9, 291
18, 290
18, 290
18, 290
18, 290
18, 290
26, 288
26, 288
18, 289
18, 289
18, 290
18, 291
18, 291
9, 292
17, 291
25, 290
17, 292
17, 292
25, 290
17, 292
25, 291
25, 291
33, 291
25, 292
25, 292
25, 292
32, 291
25, 292
17, 294
25, 293
25, 293
33, 292
25, 293
33, 292
17, 293
9, 292
0, 293
-9, 294
-9, 293
-18, 294
-18, 293
-18, 293
-18, 293
-18, 293
-9, 293
0, 291
-9, 293
-9, 293
-9, 293
0, 291
0, 291
0, 291
0, 291
0, 291
0, 291
0, 291
-9, 291
0, 290
0, 290
9, 289
18, 289
26, 289
26, 289
26, 289
26, 289
26, 289
17, 291
17, 291
17, 291
17, 291
25, 290
25, 291
25, 291
25, 291
25, 293
25, 292
25, 292
25, 292
25, 292
17, 294
17, 295
25, 293
25, 293
25, 293
17, 294
17, 293
17, 293
9, 293
9, 292
0, 293
9, 292
9, 292
17, 293
18, 295
9, 295
9, 292
9, 293
9, 294
9, 293
9, 293
9, 293
9, 292
0, 294
0, 294
0, 293
9, 292
9, 292
0, 293
0, 293
9, 292
9, 292
9, 292
0, 293
9, 291
0, 293
9, 291
9, 291
0, 293
9, 291
9, 290
9, 290
0, 292
9, 290
9, 290
9, 290
9, 290
9, 290
0, 292
9, 290
9, 290
9, 290
9, 290
0, 292
0, 292
9, 290
9, 290
9, 290
0, 292
9, 290
9, 290
9, 290
9, 290
9, 290
0, 292
9, 290
9, 290
9, 290
9, 290
9, 290
0, 292
9, 290
9, 290
0, 292
9, 290
0, 292
9, 290
0, 292
0, 292
0, 292
9, 290
9, 290
0, 292
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
17, 289
17, 289
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
9, 290
