x,y
312, 240
396, 237
380, 238
354, 239
355, 239
442, 235
353, 239
412, 236
350, 239
460, 234
1009, 212
2556, 149
-2282, 346
-1022, 293
-16614, 929
-319, 266
-774, 284
-387, 267
-312, 266
-230, 262
-264, 264
-258, 263
-248, 264
-230, 262
-235, 263
-235, 263
-270, 264
-253, 263
-230, 262
-253, 263
-230, 262
-235, 263
-235, 263
-278, 264
-253, 263
-284, 265
-258, 263
-284, 265
-258, 263
-264, 264
-253, 263
-264, 264
-258, 263
-258, 263
-290, 265
-264, 264
-264, 264
-253, 263
-284, 265
-284, 265
-230, 262
-253, 263
-258, 263
-258, 263
-264, 264
-258, 263
-235, 263
-264, 264
-253, 263
-290, 265
-284, 265
-264, 264
-258, 263
-253, 263
-230, 262
-258, 263
-248, 263
-258, 263
-258, 263
-264, 264
-248, 263
-258, 263
-264, 264
-258, 263
-235, 263
-258, 263
-290, 265
-258, 263
-264, 264
-312, 267
-264, 264
-258, 263
-258, 263
-290, 265
-284, 266
-290, 265
-235, 263
-284, 266
-290, 265
-258, 263
-258, 263
-258, 263
-264, 264
-312, 268
-230, 262
-258, 263
-278, 266
-290, 265
-258, 263
-290, 265
-235, 261
-258, 263
-290, 265
-290, 265
-290, 265
-258, 263
-290, 267
-284, 266
-327, 270
-264, 266
-253, 265
-258, 265
-235, 264
-320, 269
-290, 269
-253, 267
-312, 269
-284, 268
-290, 268
-327, 269
-297, 270
-312, 271
-264, 268
-327, 272
-290, 268
-264, 268
-270, 267
-304, 270
-304, 269
-282, 267
-261, 265
-267, 264
-247, 262
-281, 264
-232, 259
-265, 261
-259, 261
-243, 259
-199, 254
-218, 256
-203, 255
-256, 256
-223, 255
-156, 253
-203, 253
-181, 252
-234, 254
-203, 253
-208, 253
-203, 252
-173, 251
-181, 250
-203, 251
-173, 250
-203, 251
-228, 252
-256, 253
-223, 250
-218, 250
-223, 252
-218, 252
-279, 255
-218, 252
-232, 254
-272, 256
-247, 256
-218, 256
-222, 258
-231, 259
-267, 260
-320, 264
-245, 260
-297, 264
-240, 261
-312, 266
-258, 263
-258, 263
-297, 265
-290, 264
-290, 265
-258, 263
-258, 263
-284, 264
-258, 263
-264, 264
-240, 263
-270, 264
-235, 262
-264, 263
-327, 267
-290, 264
-270, 265
-245, 264
-297, 266
-276, 265
-276, 267
-250, 265
-282, 266
-267, 264
-289, 265
-241, 262
-196, 259
-259, 262
-253, 262
-232, 258
-238, 259
-218, 257
-173, 254
-208, 254
-223, 256
-203, 254
-208, 254
-208, 254
-189, 252
-203, 254
-208, 253
-228, 255
-185, 252
-185, 252
-163, 252
-203, 253
-208, 253
-213, 254
-160, 251
-185, 252
-208, 253
-185, 249
-199, 253
-185, 251
-181, 249
-199, 251
-203, 252
-228, 253
-249, 255
-265, 258
-179, 253
-204, 255
-253, 260
-304, 263
-282, 263
-236, 260
-276, 263
-276, 263
-289, 261
-222, 260
-282, 264
-222, 260
-282, 264
-226, 260
-245, 263
-256, 262
-282, 264
-250, 261
-217, 260
-304, 265
-245, 261
-304, 265
-276, 264
-276, 262
-226, 260
-250, 261
-245, 263
-217, 260
-226, 260
-276, 264
-256, 262
-270, 264
-245, 261
-276, 262
-276, 262
-276, 262
-245, 261
-222, 260
-282, 263
-270, 264
-276, 264
-297, 265
-276, 264
-256, 261
-245, 260
-261, 261
-289, 262
-236, 259
-261, 260
-312, 265
-261, 262
-282, 263
-282, 262
-319, 264
-264, 262
-297, 264
-284, 264
-258, 263
-297, 265
-320, 266
-290, 263
-284, 262
-290, 265
-335, 265
-312, 263
-297, 263
-284, 262
-297, 263
-327, 264
-284, 262
-284, 262
-320, 262
-290, 261
-335, 263
-290, 261
-258, 258
-360, 266
-320, 262
-312, 260
-343, 261
-351, 264
-305, 260
-335, 261
-298, 262
-292, 259
-335, 261
-335, 263
-327, 262
-272, 258
-327, 261
-320, 263
-327, 263
-305, 260
-327, 262
-305, 260
-305, 260
-335, 262
-292, 261
-272, 260
-305, 261
-312, 262
-305, 261
-292, 262
-327, 264
-335, 265
-298, 263
-335, 265
-305, 263
-272, 261
-278, 264
-258, 261
-290, 261
-270, 259
-282, 260
-312, 261
-261, 259
-276, 261
-282, 261
-276, 261
-304, 262
-304, 263
-335, 265
-351, 268
-186, 248
-290, 259
-387, 268
-351, 266
-284, 261
-258, 256
-312, 262
-278, 261
-327, 263
-278, 261
-320, 263
-272, 260
-320, 263
-351, 264
-351, 264
-235, 252
-360, 261
-327, 260
-320, 258
