x,y
561, 242
577, 241
2465, 148
1324, 202
-15336, 1012
7988, -120
2077, 173
3994, 74
-2343, 373
-710, 299
-1342, 330
-362, 283
-252, 277
-339, 282
-240, 278
-145, 274
-145, 274
-139, 274
-137, 273
-137, 275
-137, 273
-123, 273
-135, 273
-121, 272
-135, 273
-121, 272
-135, 273
-139, 275
-121, 272
-121, 272
-119, 272
-137, 275
-121, 273
-119, 272
-121, 272
-121, 272
-154, 276
-137, 275
-154, 277
-137, 275
-137, 275
-154, 277
-123, 273
-119, 272
-121, 272
-119, 272
-139, 275
-139, 275
-151, 277
-123, 273
-121, 272
-139, 275
-121, 272
-154, 277
-139, 275
-121, 272
-135, 275
-121, 272
-151, 275
-151, 277
-108, 271
-139, 275
-119, 272
-139, 275
-139, 275
-137, 275
-135, 273
-137, 275
-123, 273
-139, 275
-137, 273
-137, 275
-121, 272
-137, 275
-154, 277
-151, 277
-139, 276
-139, 276
-121, 275
-110, 276
-123, 277
-123, 276
-112, 275
-126, 276
-99, 272
-112, 274
-101, 272
-99, 272
-101, 272
-99, 271
-101, 271
-99, 271
-101, 272
-101, 272
-99, 271
-101, 273
-101, 271
-87, 269
-88, 269
-90, 269
-88, 270
-103, 270
-88, 268
-90, 269
-99, 270
-101, 269
-99, 269
-99, 269
-99, 269
-110, 271
-108, 271
-123, 274
-121, 274
-135, 276
-135, 276
-135, 275
-146, 277
-130, 275
-130, 275
-146, 279
-132, 276
-130, 276
-130, 277
-132, 277
-148, 279
-119, 275
-119, 275
-135, 278
-137, 278
-121, 276
-108, 275
-137, 277
-123, 276
-126, 275
-126, 276
-112, 273
-114, 275
-99, 271
-101, 272
-101, 272
-99, 271
-116, 273
-99, 270
-101, 271
-101, 271
-88, 269
-101, 270
-87, 268
-101, 270
-101, 271
-99, 270
-99, 270
-112, 272
-110, 272
-97, 271
-110, 273
-139, 277
-137, 277
-121, 275
-119, 276
-132, 276
-130, 277
-130, 277
-132, 279
-146, 279
-148, 280
-146, 279
-132, 278
-132, 278
-130, 278
-135, 280
-121, 277
-135, 279
-137, 279
-126, 277
-137, 278
-112, 276
-112, 274
-112, 274
-114, 275
-99, 271
-101, 272
-103, 272
-90, 270
-90, 270
-105, 271
-90, 270
-76, 268
-88, 268
-88, 268
-88, 268
-87, 268
-87, 269
-99, 270
-99, 271
-128, 275
-126, 275
-110, 274
-123, 276
-123, 276
-121, 275
-135, 279
-135, 277
-132, 278
-135, 278
-135, 278
-135, 278
-121, 279
-121, 273
-135, 277
-135, 278
-132, 277
-135, 277
-121, 276
-137, 277
-135, 277
-132, 277
-135, 277
-135, 277
-135, 277
-135, 277
-135, 277
-135, 277
-119, 275
-137, 277
-132, 275
-132, 277
-119, 275
-132, 277
-135, 277
-123, 276
-137, 278
-123, 276
-123, 275
-108, 274
-137, 277
-121, 275
-135, 277
-121, 275
-106, 273
-137, 277
-137, 277
-151, 278
-121, 275
-121, 274
-151, 278
-119, 273
-121, 274
-135, 276
-121, 274
-135, 276
-121, 274
-108, 272
-121, 273
-121, 274
-119, 272
-146, 275
-132, 273
-132, 274
-132, 274
-106, 271
-121, 273
-121, 272
-119, 272
-119, 272
-121, 273
-106, 271
-108, 273
-121, 273
-108, 271
-108, 271
-123, 273
-108, 272
-121, 274
-108, 272
-108, 272
-121, 274
-121, 274
-121, 276
-121, 276
-123, 275
-137, 276
-135, 276
-119, 273
-132, 275
-135, 276
-137, 276
-135, 276
-121, 274
-119, 272
-135, 274
-121, 274
-123, 273
-121, 272
-121, 274
-123, 273
-135, 274
-121, 272
-121, 272
-121, 272
-135, 273
-135, 273
-135, 273
-135, 273
-135, 273
-135, 273
-135, 273
-135, 273
-132, 273
-132, 271
-135, 273
-119, 272
-121, 272
-106, 271
-135, 274
-119, 273
-135, 274
-121, 273
-121, 273
-135, 275
-119, 273
-119, 273
-106, 273
-119, 274
-135, 275
-121, 274
-123, 275
-121, 274
-123, 275
-123, 275
-121, 274
-121, 274
-121, 274
-123, 275
-121, 274
-121, 276
-108, 277
-121, 279
-121, 278
-121, 278
-123, 279
-108, 277
-121, 277
-106, 275
-135, 278
-132, 278
-119, 275
-151, 280
-135, 278
-166, 280
-119, 275
-119, 275
-135, 277
-135, 277
-154, 280
-119, 275
-121, 275
-121, 275
-137, 277
-137, 277
-135, 276
-151, 278
-121, 274
-151, 278
-135, 276
-135, 276
-151, 279
-106, 273
-121, 273
-121, 275
-135, 277
-119, 275
-106, 273
-119, 275
-135, 277
-121, 275
-119, 275
-121, 275
-137, 277
-106, 273
-119, 275
-121, 275
-106, 273
-121, 275
-121, 275
-135, 277
-121, 275
-121, 275
-106, 273
-121, 275
-119, 275
-106, 273
-121, 275
-119, 275
-121, 275
-135, 277
-137, 277
-121, 275
-119, 275
-119, 275
-121, 275
-106, 273
-121, 275
-106, 273
-121, 275
-121, 275
-106, 273
-106, 273
-119, 275
-106, 273
-106, 273
-137, 277
-121, 275
-121, 275
-119, 275
-121, 275
-119, 275
-121, 275
-106, 273
-106, 273
-106, 273
-121, 275
-121, 275
-106, 273
-119, 275
-119, 275
-106, 273
-121, 275
-137, 277
-121, 275
-121, 275
-106, 273
-119, 275
-121, 275
-121, 275
-121, 275
-106, 273
-119, 275
-106, 273
-121, 275
